symptom_category,symptom_name,symptom_description,medicine_name,common_name,potency,dosage,frequency,modalities_better,modalities_worse,keynote_symptoms,miasm,source_material,notes,case_description
Neurological,"Insomnia – sleepless after loss, sometimes worsening at night","Sleeplessness after grief, disappointment, or loss of loved one or related discomfort",Ignatia amara,St Ignatius Bean,30C,3–5 pellets,At bedtime,"Eating, change of position, warmth","Grief, emotional upset, morning coffee",Silent grief; sighing; lump in throat; contradictory symptoms,Psora,Seeds Strychnos ignatii,Hysterical symptoms; sighing,"Case description: Insomnia – sleepless after loss, sometimes worsening at night. Associated condition: Sleeplessness after grief, disappointment, or loss of loved one or related discomfort. Appropriate remedy: Neurological potency 30C."
Neurological,"Anxiety, sometimes worsening at night",Anticipatory anxiety; fear of exams or performance; trembling weakness or related discomfort,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily; 1 dose 1 hr before stressful event,"Urination, perspiration, stimulants","Emotion, bad news, anticipation",Diarrhoea before events; weak trembling; heavy eyelids; no thirst,Psora,Root bark Gelsemium sempervirens,Stage fright remedy,"Clinical presentation: Anxiety, sometimes worsening at night. Possible condition: Anticipatory anxiety; fear of exams or performance; trembling weakness or related discomfort. Suggested homeopathic treatment: Neurological (30C)."
Skin,"Boils/Furuncles, sometimes worsening at night",Boils with much pus formation; extremely sensitive to touch and cold or related discomfort,Hepar sulphuris calcareum,Calcium Sulphide,6C (low promotes discharge),3–5 pellets,3 times daily,"Warmth, wrapping up","Cold, drafts, slightest touch",Splinter-like pains; offensive discharge; chilly; hypersensitive to pain,Psora,Calcium sulphide compound,6C promotes suppuration; 200C aborts,"Case description: Boils/Furuncles, sometimes worsening at night. Associated condition: Boils with much pus formation; extremely sensitive to touch and cold or related discomfort. Appropriate remedy: Skin potency 6C (low promotes discharge)."
Paediatric,"Tonsillitis – left-sided, sometimes worsening at night",Left-sided tonsillitis; worse after sleep; worse hot drinks; purple appearance or related discomfort,Lachesis muta,Bushmaster Snake,30C,3–5 pellets,3 times daily,"Cold drinks, open air","After sleep, hot drinks, touch, pressure",Left-sided; cannot bear tight collar; loquacious; jealous,Syphilis,Venom Lachesis muta snake,Wakes with pain; worse after sleep,"Case description: Tonsillitis – left-sided, sometimes worsening at night. Associated condition: Left-sided tonsillitis; worse after sleep; worse hot drinks; purple appearance or related discomfort. Appropriate remedy: Paediatric potency 30C."
Paediatric,"Bedwetting, sometimes worsening at night",Involuntary urination in sleep; first deep sleep; cold; worms or related discomfort,Causticum,Potassium Hydrate,30C,3–5 pellets,At bedtime,"Warmth, damp weather","Cold dry winds, clear weather",Weakness of sphincters; paralytic conditions; worse cold dry air,Syphilis,Caustic potash compound,Also for urinary incontinence in adults,"Patient reports Bedwetting, sometimes worsening at night. Condition may relate to Involuntary urination in sleep; first deep sleep; cold; worms or related discomfort. Suggested remedy: Paediatric (Potency: 30C)."
Women's Health,"Fibroids, sometimes worsening at night",Uterine fibroids; heavy bleeding; bearing down; pain before menses or related discomfort,Calcarea carbonica,Oyster Shell Calcium,30C,3–5 pellets,Twice weekly,Dry weather,"Cold damp, exertion, new moon",Chilly; sweaty head; craves eggs; anxiety; slow but reliable,Psora,Middle layer oyster shell Ostrea edulis,Key: sweaty head and cold feet in adults,"Case description: Fibroids, sometimes worsening at night. Associated condition: Uterine fibroids; heavy bleeding; bearing down; pain before menses or related discomfort. Appropriate remedy: Women's Health potency 30C."
Trauma,"Puncture wounds, sometimes worsening at night",Deep narrow puncture wounds; insect stings; nails; needles; prevents tetanus or related discomfort,Ledum palustre,Marsh Labrador Tea,30C,3–5 pellets,Every 2–3 hrs for 24–48 hrs,Cold applications,"Warmth, motion, night",Cold relieves; part is cold to touch; ecchymosis; black eye from blow,Psora,Whole plant Ledum palustre,Cold applications relieve is keynote,"Case description: Puncture wounds, sometimes worsening at night. Associated condition: Deep narrow puncture wounds; insect stings; nails; needles; prevents tetanus or related discomfort. Appropriate remedy: Trauma potency 30C."
Neurological,"Anxiety, sometimes worsening at night",Anticipatory anxiety; fear of exams or performance; trembling weakness or related discomfort,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily; 1 dose 1 hr before stressful event,"Urination, perspiration, stimulants","Emotion, bad news, anticipation",Diarrhoea before events; weak trembling; heavy eyelids; no thirst,Psora,Root bark Gelsemium sempervirens,Stage fright remedy,"The patient complains of Anxiety, sometimes worsening at night. This could correspond to Anticipatory anxiety; fear of exams or performance; trembling weakness or related discomfort. Remedy often used in such cases: Neurological (30C)."
Respiratory,"Common Cold – bland nasal discharge, sometimes worsening at night",Profuse bland nasal discharge; acrid eye discharge; photophobia; worse open air or related discomfort,Euphrasia officinalis,Eyebright,30C,3–5 pellets,3–4 times daily,"Indoors, dim light","Open air, wind, light",Acrid eye discharge + bland nasal discharge (opposite of Allium cepa),Psora,Whole plant Euphrasia officinalis,Especially for eye symptoms,"Symptoms observed include Common Cold – bland nasal discharge, sometimes worsening at night. These signs may indicate Profuse bland nasal discharge; acrid eye discharge; photophobia; worse open air or related discomfort. Recommended homeopathic medicine: Respiratory with potency 30C."
Cardiovascular,"Hypertension, sometimes worsening at night",High blood pressure; throbbing headache; red face; excitement aggravation or related discomfort,Gloninum,Nitroglycerin,30C,3–5 pellets,Twice daily,Open air,"Heat, sun, exertion, wine",Blood surges to head; forgets well-known streets; confusion,Psora,Nitroglycerin compound,,"Case description: Hypertension, sometimes worsening at night. Associated condition: High blood pressure; throbbing headache; red face; excitement aggravation or related discomfort. Appropriate remedy: Cardiovascular potency 30C."
Skin,"Eczema – weeping, sometimes worsening at night",Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge or related discomfort,Graphites,Black Lead,30C,3–5 pellets,Twice daily,Wrapping up in warm clothes,"Cold, night, after menses",Thick honey-coloured discharge; fissures at angles of mouth and eyes; chilly,Psora,Graphite (black lead),Key: honey-like discharge from skin,"Case description: Eczema – weeping, sometimes worsening at night. Associated condition: Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge or related discomfort. Appropriate remedy: Skin potency 30C."
Skin,"Boils/Furuncles, sometimes worsening at night",Boils with much pus formation; extremely sensitive to touch and cold or related discomfort,Hepar sulphuris calcareum,Calcium Sulphide,6C (low promotes discharge),3–5 pellets,3 times daily,"Warmth, wrapping up","Cold, drafts, slightest touch",Splinter-like pains; offensive discharge; chilly; hypersensitive to pain,Psora,Calcium sulphide compound,6C promotes suppuration; 200C aborts,"Clinical presentation: Boils/Furuncles, sometimes worsening at night. Possible condition: Boils with much pus formation; extremely sensitive to touch and cold or related discomfort. Suggested homeopathic treatment: Skin (6C (low promotes discharge))."
Skin,"Acne – pustular, sometimes worsening at night",Pustular acne on face; worse at puberty; worse during menses; comedones or related discomfort,Sulphur,Sulphur,30C,3–5 pellets,Twice weekly,Open air,"Warmth, night, washing",Tendency to skin eruptions; unhealthy skin; slow healing wounds,Psora,Sulphur element,Constitutional approach needed,"Patient reports Acne – pustular, sometimes worsening at night. Condition may relate to Pustular acne on face; worse at puberty; worse during menses; comedones or related discomfort. Suggested remedy: Skin (Potency: 30C)."
Trauma,"Lacerated wounds, sometimes worsening at night",Lacerations; cuts; incisions; nerve-rich areas; paper cuts; surgery recovery or related discomfort,Hypericum perforatum,St John's Wort,30C,3–5 pellets,Every 2–4 hrs,,"Touch, motion, cold, damp",Shooting pains along nerve paths; extremely sensitive nerve injuries,Psora,Whole plant Hypericum perforatum,The Arnica of the nerve endings,"Case description: Lacerated wounds, sometimes worsening at night. Associated condition: Lacerations; cuts; incisions; nerve-rich areas; paper cuts; surgery recovery or related discomfort. Appropriate remedy: Trauma potency 30C."
Women's Health,"Dysmenorrhoea – dark clotted, sometimes worsening at night",Painful menstruation with dark clotted blood; cutting pain; faintness or related discomfort,Chamomilla,Chamomile,30C,3–5 pellets,Every 30–60 min in acute,Warm wet weather,"Anger, cold, coffee, narcotics",Dark blood; extreme pain out of proportion; anger during pains,Psora,Whole plant Matricaria chamomilla,Anger makes it worse,"Clinical presentation: Dysmenorrhoea – dark clotted, sometimes worsening at night. Possible condition: Painful menstruation with dark clotted blood; cutting pain; faintness or related discomfort. Suggested homeopathic treatment: Women's Health (30C)."
Paediatric,"Colic – wind, sometimes worsening at night",Baby draws legs up with pain; wind; gas; better warmth or related discomfort,Magnesia phosphorica,Magnesium Phosphate,30C dissolved in warm water,3–5 pellets,Every 15–30 min,"Warmth, pressure, warm drinks","Cold, night",Cramping; flatulent colic; better warmth and pressure applied,Psora,Magnesium phosphate salt,Dissolve in warm water for colic,"The patient complains of Colic – wind, sometimes worsening at night. This could correspond to Baby draws legs up with pain; wind; gas; better warmth or related discomfort. Remedy often used in such cases: Paediatric (30C dissolved in warm water)."
ENT,"Tinnitus, sometimes worsening at night",Ringing or roaring in ears; worse at night; associated with vertigo or related discomfort,Chininum sulphuricum,Quinine Sulphate,30C,3–5 pellets,Twice daily,Warmth,"Cold, night, noise",Periodical complaints; debility after long illness; malarial keynote,Psora,Quinine sulphate compound,Periodicity is characteristic,"Case description: Tinnitus, sometimes worsening at night. Associated condition: Ringing or roaring in ears; worse at night; associated with vertigo or related discomfort. Appropriate remedy: ENT potency 30C."
Respiratory,"Influenza, sometimes worsening at night",Aching bones as if broken; high fever; chills; heavy eyelids; thirst absent or related discomfort,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,Every 3–4 hrs,"Stimulants, sweating","Damp weather, emotion, bad news",Droopy eyes; weakness; dizziness; no thirst despite fever,Psora,Root bark Gelsemium sempervirens,Classic flu remedy; anticipatory anxiety,"Symptoms observed include Influenza, sometimes worsening at night. These signs may indicate Aching bones as if broken; high fever; chills; heavy eyelids; thirst absent or related discomfort. Recommended homeopathic medicine: Respiratory with potency 30C."
Women's Health,"PCOS, sometimes worsening at night",Irregular periods; acne; weight gain; hirsutism; mood changes or related discomfort,Natrum muriaticum,Common Salt,30C,3–5 pellets,Twice daily,"Open air, cold bathing","Heat, sun, 9–11 am",Hormonal imbalance; craves salt; maps tongue; reserved; grief aetiology,Psora,Sodium chloride NaCl,Constitutional treatment,"Symptoms observed include PCOS, sometimes worsening at night. These signs may indicate Irregular periods; acne; weight gain; hirsutism; mood changes or related discomfort. Recommended homeopathic medicine: Women's Health with potency 30C."
Respiratory,"Common Cold – early stage, sometimes worsening at night",Sudden onset cold after exposure to cold dry wind; sneezing; watery discharge; fever; restlessness or related discomfort,Aconitum napellus,Monkshood,30C,3–5 pellets,"Every 2–4 hrs at onset, reduce as improved","Rest, open air","Cold dry wind, night, fright",Great fear and anxiety; sudden violent onset; thirst for cold water,Psora,Fresh plant Aconitum napellus,Do not continue beyond 48 hrs,"Patient reports Common Cold – early stage, sometimes worsening at night. Condition may relate to Sudden onset cold after exposure to cold dry wind; sneezing; watery discharge; fever; restlessness or related discomfort. Suggested remedy: Respiratory (Potency: 30C)."
Urinary,"Kidney stones, sometimes worsening at night",Renal colic; violent cramping; blood in urine; pain radiates to groin or related discomfort,Berberis vulgaris,Barberry,30C,3–5 pellets,Every 30–60 min during colic,Rest,"Motion, standing, jarring",Radiating pains from kidney region; pale earthy complexion; bubbling sensation,Psora,Root bark Berberis vulgaris,Radiating pains are keynote,"Symptoms observed include Kidney stones, sometimes worsening at night. These signs may indicate Renal colic; violent cramping; blood in urine; pain radiates to groin or related discomfort. Recommended homeopathic medicine: Urinary with potency 30C."
Cardiovascular,"Hypertension, sometimes worsening at night",High blood pressure; throbbing headache; red face; excitement aggravation or related discomfort,Gloninum,Nitroglycerin,30C,3–5 pellets,Twice daily,Open air,"Heat, sun, exertion, wine",Blood surges to head; forgets well-known streets; confusion,Psora,Nitroglycerin compound,,"Symptoms observed include Hypertension, sometimes worsening at night. These signs may indicate High blood pressure; throbbing headache; red face; excitement aggravation or related discomfort. Recommended homeopathic medicine: Cardiovascular with potency 30C."
Infections,"Cellulitis, sometimes worsening at night",Spreading red inflammation; streaks; heat; swelling; pitting oedema or related discomfort,Apis mellifica,Honey Bee,30C,3–5 pellets,Every 2–3 hrs in acute,Cold applications,"Heat, pressure, touch, 3 pm",Stinging burning pains; oedema; no thirst; rosy hue,Sycosis,Honey bee Apis mellifica,Any oedematous condition,"Patient reports Cellulitis, sometimes worsening at night. Condition may relate to Spreading red inflammation; streaks; heat; swelling; pitting oedema or related discomfort. Suggested remedy: Infections (Potency: 30C)."
Neurological,"Insomnia – sleepless after loss, sometimes worsening at night","Sleeplessness after grief, disappointment, or loss of loved one or related discomfort",Ignatia amara,St Ignatius Bean,30C,3–5 pellets,At bedtime,"Eating, change of position, warmth","Grief, emotional upset, morning coffee",Silent grief; sighing; lump in throat; contradictory symptoms,Psora,Seeds Strychnos ignatii,Hysterical symptoms; sighing,"Case description: Insomnia – sleepless after loss, sometimes worsening at night. Associated condition: Sleeplessness after grief, disappointment, or loss of loved one or related discomfort. Appropriate remedy: Neurological potency 30C."
Dental,"Abscess – dental, sometimes worsening at night",Dental abscess; swollen face; extreme pain; worse cold; wants to wrap face or related discomfort,Hepar sulphuris calcareum,Calcium Sulphide,6C (promotes drainage),3–5 pellets,3 times daily,Warmth,"Cold, drafts, touch",Promotes suppuration; splinter-like pains; offensive pus; hypersensitive,Psora,Calcium sulphide compound,6C promotes; 200C can abort abscess,"Clinical presentation: Abscess – dental, sometimes worsening at night. Possible condition: Dental abscess; swollen face; extreme pain; worse cold; wants to wrap face or related discomfort. Suggested homeopathic treatment: Dental (6C (promotes drainage))."
Musculoskeletal,"Fibromyalgia, sometimes worsening at night",All-over body aching; worse cold; fatigue; sleep disturbance; tender points or related discomfort,Arnica montana,Mountain Arnica,200C,3–5 pellets,Twice weekly,"Rest, lying down","Touch, motion, damp cold",Bruised sore feeling; bed feels too hard; hypersensitive to touch,Psora,Whole plant Arnica montana,Constitutional treatment needed,"Case description: Fibromyalgia, sometimes worsening at night. Associated condition: All-over body aching; worse cold; fatigue; sleep disturbance; tender points or related discomfort. Appropriate remedy: Musculoskeletal potency 200C."
Neurological,"Anxiety, sometimes worsening at night",Anticipatory anxiety; fear of exams or performance; trembling weakness or related discomfort,Gelsemium sempervirens,Yellow Jasmine,30C,3–5 pellets,3 times daily; 1 dose 1 hr before stressful event,"Urination, perspiration, stimulants","Emotion, bad news, anticipation",Diarrhoea before events; weak trembling; heavy eyelids; no thirst,Psora,Root bark Gelsemium sempervirens,Stage fright remedy,"Clinical presentation: Anxiety, sometimes worsening at night. Possible condition: Anticipatory anxiety; fear of exams or performance; trembling weakness or related discomfort. Suggested homeopathic treatment: Neurological (30C)."
Skin,"Acne – pustular, sometimes worsening at night",Pustular acne on face; worse at puberty; worse during menses; comedones or related discomfort,Sulphur,Sulphur,30C,3–5 pellets,Twice weekly,Open air,"Warmth, night, washing",Tendency to skin eruptions; unhealthy skin; slow healing wounds,Psora,Sulphur element,Constitutional approach needed,"Case description: Acne – pustular, sometimes worsening at night. Associated condition: Pustular acne on face; worse at puberty; worse during menses; comedones or related discomfort. Appropriate remedy: Skin potency 30C."
ENT,"Earache – chronic otitis, sometimes worsening at night",Chronic ear discharge; offensive pus; worse cold drafts; very sensitive or related discomfort,Hepar sulphuris calcareum,Calcium Sulphide,30C,3–5 pellets,3 times daily,"Warmth, wrapping ears","Cold, draft, touch",Extreme cold and touch sensitivity; splinter-like pains; offensive pus,Psora,Calcium sulphide compound,Protects from cold at all costs,"Case description: Earache – chronic otitis, sometimes worsening at night. Associated condition: Chronic ear discharge; offensive pus; worse cold drafts; very sensitive or related discomfort. Appropriate remedy: ENT potency 30C."
Paediatric,"Bedwetting, sometimes worsening at night",Involuntary urination in sleep; first deep sleep; cold; worms or related discomfort,Causticum,Potassium Hydrate,30C,3–5 pellets,At bedtime,"Warmth, damp weather","Cold dry winds, clear weather",Weakness of sphincters; paralytic conditions; worse cold dry air,Syphilis,Caustic potash compound,Also for urinary incontinence in adults,"The patient complains of Bedwetting, sometimes worsening at night. This could correspond to Involuntary urination in sleep; first deep sleep; cold; worms or related discomfort. Remedy often used in such cases: Paediatric (30C)."
Dental,"Toothache – worse warmth, sometimes worsening at night",Toothache worse from warmth; better cold water; worse at night or related discomfort,Coffea cruda,Unroasted Coffee,30C,3–5 pellets,Every 30–60 min in acute,Cold water held in mouth,"Warmth, night, excitement",Intolerance of pain; sleeplessness; excessive sensitiveness; toothache in nursing,Psora,Unroasted Coffea arabica,Cold water held in mouth relieves,"Patient reports Toothache – worse warmth, sometimes worsening at night. Condition may relate to Toothache worse from warmth; better cold water; worse at night or related discomfort. Suggested remedy: Dental (Potency: 30C)."
Mental,"Anger – suppressed, sometimes worsening at night",Ill effects of suppressed anger; ailments from vexation; trembling with anger or related discomfort,Staphysagria,Stavesacre,30C,3–5 pellets,3 times daily,Open air,"Touch, indignation, loss of sleep, sexual excess",Wounded pride; very sensitive; cystitis after intercourse; styes,Psora,Seeds Delphinium staphisagria,Honeymoon cystitis; after surgery,"Symptoms observed include Anger – suppressed, sometimes worsening at night. These signs may indicate Ill effects of suppressed anger; ailments from vexation; trembling with anger or related discomfort. Recommended homeopathic medicine: Mental with potency 30C."
Neurological,"Insomnia – sleepless after loss, sometimes worsening at night","Sleeplessness after grief, disappointment, or loss of loved one or related discomfort",Ignatia amara,St Ignatius Bean,30C,3–5 pellets,At bedtime,"Eating, change of position, warmth","Grief, emotional upset, morning coffee",Silent grief; sighing; lump in throat; contradictory symptoms,Psora,Seeds Strychnos ignatii,Hysterical symptoms; sighing,"Case description: Insomnia – sleepless after loss, sometimes worsening at night. Associated condition: Sleeplessness after grief, disappointment, or loss of loved one or related discomfort. Appropriate remedy: Neurological potency 30C."
Cardiovascular,"Hypertension, sometimes worsening at night",High blood pressure; throbbing headache; red face; excitement aggravation or related discomfort,Gloninum,Nitroglycerin,30C,3–5 pellets,Twice daily,Open air,"Heat, sun, exertion, wine",Blood surges to head; forgets well-known streets; confusion,Psora,Nitroglycerin compound,,"The patient complains of Hypertension, sometimes worsening at night. This could correspond to High blood pressure; throbbing headache; red face; excitement aggravation or related discomfort. Remedy often used in such cases: Cardiovascular (30C)."
Respiratory,"Post-nasal drip, sometimes worsening at night",Constant hawking; mucus from posterior nares; throat clearing or related discomfort,Hydrastis canadensis,Goldenseal,30C,3–5 pellets,3 times daily,Warm drinks,"Cold air, empty stomach",Thick ropy yellow mucus; weak digestion; atonic mucous membranes,Psora,Root Hydrastis canadensis,Tonic for mucous membranes,"Patient reports Post-nasal drip, sometimes worsening at night. Condition may relate to Constant hawking; mucus from posterior nares; throat clearing or related discomfort. Suggested remedy: Respiratory (Potency: 30C)."
Digestive,"Haemorrhoids, sometimes worsening at night",Large purple painful haemorrhoids; worse after stool; burning; bleeding or related discomfort,Aesculus hippocastanum,Horse Chestnut,30C,3–5 pellets,3 times daily,Cool bathing,"Standing, walking",Fullness in rectum; backache accompanying haemorrhoids; dry purple piles,Psora,Seeds Aesculus hippocastanum,Sacral backache with piles is characteristic,"Case description: Haemorrhoids, sometimes worsening at night. Associated condition: Large purple painful haemorrhoids; worse after stool; burning; bleeding or related discomfort. Appropriate remedy: Digestive potency 30C."
Digestive,"Flatulence, sometimes worsening at night",Excessive gas; bloated abdomen; worse after eating; cannot pass gas or related discomfort,Carbo vegetabilis,Vegetable Charcoal,30C,3–5 pellets,3 times daily,"Eructation, fanning, cold air","Lying down, warm room, evening",Tremendous bloating; putrid eructations; vital force low; craves fresh air,Psora,Vegetable charcoal,Almost no vital heat; craves air,"Symptoms observed include Flatulence, sometimes worsening at night. These signs may indicate Excessive gas; bloated abdomen; worse after eating; cannot pass gas or related discomfort. Recommended homeopathic medicine: Digestive with potency 30C."
Musculoskeletal,"Sprains – tendons and ligaments, sometimes worsening at night","Sprains of tendons and ligaments; weakness in wrist, ankle; worse walking or related discomfort",Ruta graveolens,Rue,30C,3–5 pellets,3 times daily,"Lying on back, warmth","Rest, cold, damp",All parts feel lame bruised sore; periosteum and tendons; eye strain,Psora,Whole plant Ruta graveolens,Tendons and periosteum remedy,"Case description: Sprains – tendons and ligaments, sometimes worsening at night. Associated condition: Sprains of tendons and ligaments; weakness in wrist, ankle; worse walking or related discomfort. Appropriate remedy: Musculoskeletal potency 30C."
Digestive,"Vomiting after eating, sometimes worsening at night",Vomiting immediately after eating; cannot keep anything down; nausea or related discomfort,Phosphorus,Phosphorus,30C,3–5 pellets,Every 2–3 hrs,"Cold drinks, cold food",Warm drinks (vomit when they become warm),Desires cold drinks which are then vomited when they become warm,Psora/Tubercular,Phosphorus element,Tall slender individuals,"Clinical presentation: Vomiting after eating, sometimes worsening at night. Possible condition: Vomiting immediately after eating; cannot keep anything down; nausea or related discomfort. Suggested homeopathic treatment: Digestive (30C)."
Respiratory,"Rattling loose cough, sometimes worsening at night",Rattling cough with inability to expectorate; chest full of mucus; worse 4–6 am or related discomfort,Antimonium tartaricum,Tartar Emetic,30C,3–5 pellets,Every 2–3 hrs,"Sitting up, eructation","Lying down, 4 am, warmth",Rattling chest; extreme weakness; pale and sweaty,Sycosis,Tartrate of antimony and potash,Keynote: rattling with inability to raise mucus,"Symptoms observed include Rattling loose cough, sometimes worsening at night. These signs may indicate Rattling cough with inability to expectorate; chest full of mucus; worse 4–6 am or related discomfort. Recommended homeopathic medicine: Respiratory with potency 30C."
Infections,"Chickenpox, sometimes worsening at night",Itching vesicular eruptions; worse at night; one crop follows another or related discomfort,Rhus toxicodendron,Poison Ivy,30C,3–5 pellets,3 times daily,"Motion, warmth","Rest, cold, night",Intense itch; restlessness; triangular red tip of tongue,Psora,Leaves Toxicodendron radicans,Classic chickenpox remedy,"Case description: Chickenpox, sometimes worsening at night. Associated condition: Itching vesicular eruptions; worse at night; one crop follows another or related discomfort. Appropriate remedy: Infections potency 30C."
Skin,"Eczema – weeping, sometimes worsening at night",Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge or related discomfort,Graphites,Black Lead,30C,3–5 pellets,Twice daily,Wrapping up in warm clothes,"Cold, night, after menses",Thick honey-coloured discharge; fissures at angles of mouth and eyes; chilly,Psora,Graphite (black lead),Key: honey-like discharge from skin,"Clinical presentation: Eczema – weeping, sometimes worsening at night. Possible condition: Thick honey-like oozing; crusts behind ears and on scalp; sticky discharge or related discomfort. Suggested homeopathic treatment: Skin (30C)."
Musculoskeletal,"Arthritis – better rest, sometimes worsening at night",Stitching pains; worse any motion; joints hot red swollen; must keep still or related discomfort,Bryonia alba,White Bryony,30C,3–5 pellets,3 times daily,"Absolute rest, pressure","Any motion, touch",Intense aggravation from any motion; irritable; thirsty for large quantities,Psora,Root Bryonia alba,Opposite of Rhus tox,"Symptoms observed include Arthritis – better rest, sometimes worsening at night. These signs may indicate Stitching pains; worse any motion; joints hot red swollen; must keep still or related discomfort. Recommended homeopathic medicine: Musculoskeletal with potency 30C."
Respiratory,"Common Cold – bland nasal discharge, sometimes worsening at night",Profuse bland nasal discharge; acrid eye discharge; photophobia; worse open air or related discomfort,Euphrasia officinalis,Eyebright,30C,3–5 pellets,3–4 times daily,"Indoors, dim light","Open air, wind, light",Acrid eye discharge + bland nasal discharge (opposite of Allium cepa),Psora,Whole plant Euphrasia officinalis,Especially for eye symptoms,"The patient complains of Common Cold – bland nasal discharge, sometimes worsening at night. This could correspond to Profuse bland nasal discharge; acrid eye discharge; photophobia; worse open air or related discomfort. Remedy often used in such cases: Respiratory (30C)."
Women's Health,"Dysmenorrhoea – cramping, sometimes worsening at night",Severe uterine cramping; better bending double and pressure; worse after anger or related discomfort,Colocynthis,Bitter Cucumber,30C,3–5 pellets,Every 30–60 min in acute,"Bending double, hard pressure","Anger, 4 pm",Agonising cramps; screams with pain; clutches abdomen,Psora,Pulp Citrullus colocynthis,Cramping relieved by pressure keynote,"The patient complains of Dysmenorrhoea – cramping, sometimes worsening at night. This could correspond to Severe uterine cramping; better bending double and pressure; worse after anger or related discomfort. Remedy often used in such cases: Women's Health (30C)."
Urinary,"UTI – scalding, must hurry, sometimes worsening at night",Must run to urinate; scalding urine; worse sitting; tenesmus of bladder or related discomfort,Mercurius corrosivus,Corrosive Sublimate,30C,3–5 pellets,Every 2–3 hrs,Rest,"Night, sweat",Intense tenesmus; never-get-done feeling; bloody urine,Syphilis,Mercuric chloride compound,Most intense tenesmus of any remedy,"The patient complains of UTI – scalding, must hurry, sometimes worsening at night. This could correspond to Must run to urinate; scalding urine; worse sitting; tenesmus of bladder or related discomfort. Remedy often used in such cases: Urinary (30C)."
Respiratory,"Post-nasal drip, sometimes worsening at night",Constant hawking; mucus from posterior nares; throat clearing or related discomfort,Hydrastis canadensis,Goldenseal,30C,3–5 pellets,3 times daily,Warm drinks,"Cold air, empty stomach",Thick ropy yellow mucus; weak digestion; atonic mucous membranes,Psora,Root Hydrastis canadensis,Tonic for mucous membranes,"Symptoms observed include Post-nasal drip, sometimes worsening at night. These signs may indicate Constant hawking; mucus from posterior nares; throat clearing or related discomfort. Recommended homeopathic medicine: Respiratory with potency 30C."
Fever,"Fever with bone pain, sometimes worsening at night",Fever with deep bone aching; chills up and down spine; thirst only during chill or related discomfort,Eupatorium perfoliatum,Boneset,30C,3–5 pellets,Every 3–4 hrs in acute,"Sweating, vomiting","Cold, 7–9 am",Aching as if bones broken; bilious vomiting; weakness,Psora,Whole plant Eupatorium perfoliatum,Flu-like bone aching,"The patient complains of Fever with bone pain, sometimes worsening at night. This could correspond to Fever with deep bone aching; chills up and down spine; thirst only during chill or related discomfort. Remedy often used in such cases: Fever (30C)."
Mental,"OCD / perfectionism, sometimes worsening at night",Obsessive compulsive traits; anxiety about health; fastidious; fears germs or related discomfort,Arsenicum album,White Arsenic,30C,3–5 pellets,Twice daily,"Warmth, warmth of bed, company","Cold, midnight, alone",Need for order and cleanliness; fear of poverty; restless anxious,Psora/Tubercular,White arsenic trioxide,Classic perfectionist type,"Patient reports OCD / perfectionism, sometimes worsening at night. Condition may relate to Obsessive compulsive traits; anxiety about health; fastidious; fears germs or related discomfort. Suggested remedy: Mental (Potency: 30C)."
Respiratory,"Asthma from damp, sometimes worsening at night",Asthma in damp weather; cough worse cold air; must sit up; ropy mucus or related discomfort,Natrum sulphuricum,Glauber's Salt,30C,3–5 pellets,3 times daily,Dry weather,"Damp, rainy weather, 4–5 am",Aggravation from dampness in all complaints; greenish expectoration,Sycosis,Sodium sulphate,Constitutional remedy for sycotic patients,"Patient reports Asthma from damp, sometimes worsening at night. Condition may relate to Asthma in damp weather; cough worse cold air; must sit up; ropy mucus or related discomfort. Suggested remedy: Respiratory (Potency: 30C)."
Digestive,"Colic – infant, better motion, sometimes worsening at night",Colic better from rocking and motion; better warmth; colicky baby wants to be carried or related discomfort,Chamomilla,Chamomile,30C,3–5 pellets,Every 30–60 min in acute,"Warm wet weather, being carried, motion","Anger, cold wind, dentition",Extreme irritability; one cheek red one pale; teething; unbearable pain,Psora,Whole plant Matricaria chamomilla,Keynote: child can only be quieted by carrying,"Patient reports Colic – infant, better motion, sometimes worsening at night. Condition may relate to Colic better from rocking and motion; better warmth; colicky baby wants to be carried or related discomfort. Suggested remedy: Digestive (Potency: 30C)."
Neurological,"Headache – congestive, sometimes worsening at night",Bursting headache; must hold head; worse stooping; better cold application or related discomfort,Gloninum,Nitroglycerin,30C,3–5 pellets,Every 30–60 min in acute,Cold applications,"Sun, heat, exertion",Surging of blood to head; cannot bear anything on head; confused,Psora,Nitroglycerin compound,Sunstroke remedy,"The patient complains of Headache – congestive, sometimes worsening at night. This could correspond to Bursting headache; must hold head; worse stooping; better cold application or related discomfort. Remedy often used in such cases: Neurological (30C)."
